title,link,address
RS Al Faudi,https://lewatmana.com/lokasi/46306/rs-al-faudi/,"Jl. Jenderal Ahmad Yani No.23, Kartini, Kec. Binjai Kota, Kota Binjai, Sumatera Utara, Binjai, Sumatera Utara, Indonesia 20742"
RS Al Huda Genteng,https://lewatmana.com/lokasi/39044/rs-al-huda-genteng/,"JL. Raya Gambiran, No. 225, Genteng, Banyuwangi, Jawa Timur, Indonesia 68486"
RS Al-Irsyad,https://lewatmana.com/lokasi/38175/rs-al-irsyad/,"Jl. KH. Mas Mansyur 210-214, Surabaya, Jawa Timur, Indonesia 60162"
RS Al Islam,https://lewatmana.com/lokasi/38115/rs-al-islam/,"Jl. Soekarno Hatta No. 644, Bandung, Jawa Barat, Indonesia"
RS AL Juanda,https://lewatmana.com/lokasi/39359/rs-al-juanda/,"Jl. Bachtiar Yahya No.1 Juanda, Kab. Sidoarjo, Sidoarjo, Jawa Timur, Indonesia 61253"
RSAL Tanjung Perak,https://lewatmana.com/lokasi/38207/rsal-tanjung-perak/,"JL. Laksda M Nasir No. 56,, Surabaya, Jawa Timur, Indonesia"
RS Amal Sehat,https://lewatmana.com/lokasi/39086/rs-amal-sehat/,"Jl. Ngerjopuro RT.02/RW.03,Slogohimo Wonogiri, Wonogiri, Jawa Tengah, Indonesia 57694"
RS Amanda Mitra Keluarga,https://lewatmana.com/lokasi/45945/rs-amanda-mitra-keluarga/,"Karyamukti, Lemahabang, Kabupaten Karawang, Jawa Barat, Karawang, Jawa Barat, Indonesia 41383"
RS Amelia,https://lewatmana.com/lokasi/39196/rs-amelia/,"Jl. Pahlawan No.25A Pare - Kediri, Kediri, Jawa Timur, Indonesia 64213"
RS AL Pal Surabaya,https://lewatmana.com/lokasi/38209/rs-al-pal-surabaya/,"JL. Taruna, No. 66-68, Ujung, Semampir, Surabaya, Jawa Timur, Indonesia 60155"
RS Amalia Bontang,https://lewatmana.com/lokasi/46109/rs-amalia-bontang/,"JL. Letjend, Jl. R. Suprapto No.22, Bontang Baru, Bontang Utara, Kota Bontang, Kalimantan Timur, Bontang, Kalimantan Timur, Indonesia 75311"
RS Amanah Mahmudah,https://lewatmana.com/lokasi/38848/rs-amanah-mahmudah/,"JL. Jenderal Sudirman No. 06 Sitanggal Larangan, Brebes, Jawa Tengah, Indonesia 52262"
RS AMC Bandung,https://lewatmana.com/lokasi/45916/rs-amc-bandung/,"Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat, Kabupaten Bandung, Jawa Barat, Indonesia 40622"
RS Aminah,https://lewatmana.com/lokasi/37759/rs-aminah/,"Jl. HOS Cokroaminoto ( Ciledug Raya ) No. 4A Kreo Selatan, Larangan, Ciledug, Tangerang, Banten, Indonesia 15156"
RS Amira Purwakarta,https://lewatmana.com/lokasi/38729/rs-amira-purwakarta/,"Jalan Ipik Gandamanah RT 35 RW 03 Munjul Jaya Kec. Purwakarta, Purwakarta, Jawa Barat, Indonesia 41117"
RS Ananda,https://lewatmana.com/lokasi/45862/rs-ananda/,"Jl. Sultan Agung No.173, Medan Satria, Medan Satria, Kota Bks, Jawa Barat, Depok, Jawa Barat, Indonesia 17132"
RS Andhika Jakarta,https://lewatmana.com/lokasi/45729/rs-andhika-jakarta/,"RSB Andhika, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan., Jakarta Selatan, DKI Jakarta, Indonesia 12630"
RS Angkatan Laut Dr. Ramelan,https://lewatmana.com/lokasi/38176/rs-angkatan-laut-dr-ramelan/,"Jalan Gadung No.1 Surabaya, Surabaya, Jawa Timur, Indonesia 60244"
RS Annisa Cikarang,https://lewatmana.com/lokasi/45892/rs-annisa-cikarang/,"Jl. Cikarang Baru Raya No.31, Simpangan, Kec. Cikarang Utara, Bekasi, Jawa Barat, Kabupaten Bekasi, Jawa Barat, Indonesia 17836"
RS Anak dan Bunda Harapan Kita,https://lewatmana.com/lokasi/45717/rs-anak-dan-bunda-harapan-kita/,"No.Kav. 87, Jalan Letjen S. Parman, Kota Bambu Utara, Kec. Palmerah, Kota Jakarta Barat., Jakarta Barat, DKI Jakarta, Indonesia 11420"
RS ANANDA,https://lewatmana.com/lokasi/39073/rs-ananda/,"Jl. Mastrip No. 14 Srengat, Blitar, Jawa Timur, Indonesia 66152"
RS Anggrek Mas Jakarta,https://lewatmana.com/lokasi/45718/rs-anggrek-mas-jakarta/,"Jl. Anggrek 4C, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat., Jakarta Barat, DKI Jakarta, Indonesia 11530"
RS Angkatan Udara dr. Esnawan Antariksa,https://lewatmana.com/lokasi/45766/rs-angkatan-udara-dr-esnawan-antariksa/,"2, Jl. Merpati, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur., Jakarta Timur, DKI Jakarta, Indonesia 13610"
RS Annisa Medical Center,https://lewatmana.com/lokasi/38148/rs-annisa-medical-center/,"Jalan Raya Cileunyi - Rancaekek, Bandung, Jawa Barat, Indonesia 40393"
RS Antam,https://lewatmana.com/lokasi/37882/rs-antam/,"Jl. Raya Pemuda No. 1A Pulogadung, Jakarta Timur, DKI Jakarta, Indonesia 13210"
RS Anugerah Bunda Khatulistiwa,https://lewatmana.com/lokasi/46069/rs-anugerah-bunda-khatulistiwa/,"Jl. Jenderal Ahmad Yani, Bangka Belitung Darat, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan, Pontianak, Kalimantan Barat, Indonesia 78124"
RS Anwar Medika,https://lewatmana.com/lokasi/39360/rs-anwar-medika/,"Dsn. Semawut RT.10/RW.04, Ds Balongbendo Kec.Balongbendo, Sidoarjo, Sidoarjo, Jawa Timur, Indonesia 61263"
RS Aqidah Tangerang,https://lewatmana.com/lokasi/45797/rs-aqidah-tangerang/,"Jl. Raden Patah No. 40, Parung Serab, Kec. Ciledug, Kota Tangerang, Banten, Tangerang, Banten, Indonesia 15153"
RS AR Bunda Prabumulih,https://lewatmana.com/lokasi/46290/rs-ar-bunda-prabumulih/,"Jl. Angkatan 45 No.222, Gn. Ibul Bar., Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan, Prabumulih, Sumatera Selatan, Indonesia 31113"
RS Antam Medika,https://lewatmana.com/lokasi/45767/rs-antam-medika/,"1A, Jl. Pemuda, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur., Jakarta Timur, DKI Jakarta, Indonesia 13250"
RS Anutapura Palu,https://lewatmana.com/lokasi/46232/rs-anutapura-palu/,"Jl. Kangkung No.1, Donggala Kodi, Palu, Kota Palu, Sulawesi Tengah, Palu, Sulawesi Tengah, Indonesia 94111"
RS Aprilia Medika,https://lewatmana.com/lokasi/37790/rs-aprilia-medika/,"JL. Raya Setu, No. 99, Lubang Buaya, Setu, Bekasi, Jawa Barat, Indonesia 17320"
RS AR Bunda Lubuklinggau,https://lewatmana.com/lokasi/46266/rs-ar-bunda-lubuklinggau/,"Jl. Garuda No.245, Bandung Kiri, Lubuk Linggau Bar. I, Kota Lubuklinggau, Sumatera Selatan, Lubuklinggau, Sumatera Selatan, Indonesia 31613"
RS Ari Canti,https://lewatmana.com/lokasi/39279/rs-ari-canti/,"Jl. Raya Mas Ubud, Gianyar, Bali, Indonesia 80571"
RS Ariya Medika,https://lewatmana.com/lokasi/37760/rs-ariya-medika/,"Jalan Industri Raya 1 Blok A No.1-11, Tangerang, Banten, Indonesia 15117"
RS Arsani,https://lewatmana.com/lokasi/46121/rs-arsani/,"Jl. Sungai Liat - Pangkalpinang, Kenanga, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung, Pangkal Pinang, Kepulauan Bangka Belitung, Indonesia 33251"
RS. Asshobirin,https://lewatmana.com/lokasi/21905/rs-asshobirin/,"Jl. Raya Serpong KM.11 Pondok Jagung Kec. Serpong, Tangerang, Banten, Indonesia 15117"
RS Astrini,https://lewatmana.com/lokasi/39089/rs-astrini/,"JL. Brigjend Katamso, Kaliancar, Selogiri, Wonogiri, Jawa Tengah, Indonesia 57652"
RS Atma Jaya,https://lewatmana.com/lokasi/4702/rs-atma-jaya/,"Jl Pluit Raya No 2, Jakarta Utara, DKI Jakarta, Indonesia 14440"
RS Arjawinangun,https://lewatmana.com/lokasi/38694/rs-arjawinangun/,"Jl. By Pass Palimanan - Jakarta Km.2 No.1 Kebonturi, Arjawinangun, Cirebon, Jawa Barat, Indonesia 45162"
RS ASRI,https://lewatmana.com/lokasi/24986/rs-asri/,"Jl. Duren Tiga Raya No. 20, Jakarta Selatan, DKI Jakarta, Indonesia 12760"
RS Astakona,https://lewatmana.com/lokasi/4712/rs-astakona/,"Jl. Letjen Suprapto ITC Mega Grosir Cempaka Mas Bl L/994 Lt 4, Jakarta Pusat, DKI Jakarta, Indonesia 10640"
RS Asyifa Husada Pamekasan,https://lewatmana.com/lokasi/39318/rs-asyifa-husada-pamekasan/,"Jl. Mandilaras No. 88-90, Pamekasan, Pamekasan, Jawa Timur, Indonesia 69316"
RS At-Tin Husada,https://lewatmana.com/lokasi/39305/rs-tin-husada/,"Jl. Raya Watualang KM. 04 Desa Watualang, Kab. Ngawi, Ngawi, Jawa Timur, Indonesia 63251"
